Title	Address	Phone	Categories
Cork Racecourse Mallow Ltd	Killarney rd Mallow Co Cork   Co. Cork	(022)50207	{'Race Courses'}
Heffernan Joe BA MA H.Dip. COUNS	Glenside Boherbue Mallow    Co. Cork	(029)76617	{'Occupational Health'}
Granary The	148 Main st Mallow   Co. Cork	(022)42412	{'Natural Food Stores'}
Quality Services International Ltd		086 263 5113	{'Quality Management'}
Just Ice Ltd	Quartertown Ind Est Mallow   Co. Cork	(022)52338	{'Ice Manufacturing'}
General Analytical Laboratories	Unit D Quatertown Industrial Estate Mallow Co. Cork	(022) 20122	{'Laboratories'}
Primary Focus Heating & Plumbing	Aeveen, Ballyhass, Cecilstown Mallow, Cork, Co. Cork	(087)6288804	{'Valve Repair'}
Irohaul Ltd		(022) 43701	{'Heavy Haulage'}
Mallow Transport Ltd	Ballyellis, Mallow, Co. Cork	(022)22986	{'Heavy Haulage'}
Kenny Transport	Greystones Grenagh    Co. Cork	(021)4886186	{'Heavy Haulage'}
O'Hanlon Transport (Mourneabbey) Ltd	Monaparson Mourneabbey Mallow    Co. Cork	(022)29290	{'Heavy Haulage'}
O'Connor Patk	Rockvale Mourneabbey Mallow    Co. Cork	(022)29124	{'Heavy Haulage'}
Drum Transport Ltd.	Brittas, Lombardstown Mallow   Co. Cork	(022)47264	{'Heavy Haulage'}
Cullinane Jeremiah	Ballymorisheen Grenagh    Co. Cork	(021)4886400	{'Heavy Haulage'}
Looney Transport	Graigue Shanballymore Mallow    Co. Cork	(022)25170	{'Heavy Haulage'}
O'Connor David	Ballysimon Dromahane Mallow    Co. Cork	(021)7333023	{'Heavy Haulage'}
Hartnett Donal	19 Canon Sheehan pl Mallow   Co. Cork	(022)42407	{'Heavy Haulage'}
Drom Transport Ltd	Brittas Lombardstown Mallow   Co. Cork	(022)47264	{'Heavy Haulage'}
Coleman Seán	Rathduff Grenagh Cork    Co. Cork	(021)4886151	{'Milking Machines'}
Buckley Quarries Ltd	Carraigcleena Bweeng Mallow Co Cork    Co. Cork	(021)7333051	{'Quarries'}
Direct Office Supplies	Fair st Mallow   Co. Cork	(022)50411	{'Office Fit Out'}
Mallow Accident Repair Centre Ltd		(022) 22514	set()
O'Briens Garage Mallow		(022) 42002	set()
O'Sullivan Car Dismantlers	Clonbanin Mallow   Co. Cork	(021) 6010300	set()
V.A.S.S. Motor Works	12B Ballydaheen Industrial Estate Mallow Co. Cork	(022)53508	set()
We buy unwanted campers	Mallow road  Mallow  Co. Cork	(083)0645813	set()
Blackwater Autobreakers Ireland Ltd	Keelnahulla Boherbue   Co. Cork	(029)76688	set()
Cantillon Gerard Auto Repairs	Liscarroll Mallow    Co. Cork	(022)49988	set()
Cronin Autos	Clonbanin Cross Mallow   P51W422 Co. Cork	(029)78014	set()
Shanahan Car Sales Ltd	Killura Killavullen Mallow   Co. Cork	(022)26507	set()
Bolster Tom Car Sales	Ballydaheen Mallow    Co. Cork	(022)51499	set()
Canavan Pat Motors	Castletownroche Mallow   Co. Cork	(022)26166	set()
Glanworth Tyres Retail	Mallow   Co. Cork	(022)22128	set()
Woods Engineering	Caherduggan Doneraile, Mallow,   Co. Cork	(086)6031088	set()
Duggans Garage	Lombardstown Mallow    Co. Cork	(022)47186	set()
Collins Bros Garage	Liscarroll, Mallow   Co. Cork	(022)48222	set()
Smyth Frank & Sons Ltd	Scarteen Kennell Hill Mallow    Co. Cork	(022)20231	set()
Kielys Garage Ltd	Mallow   Co. Cork	(022)21069	set()
Roche's Garage	Marble Hill Newberry Mallow   Co. Cork	(022)47266	set()
Jimodoherty Autoparts	U 6 Shortcastle Mallow    Co. Cork	(022)43371	set()
Racecourse Service Station Ltd	Firville Mallow    Co. Cork	(022)21846	set()
Stitches Babywear	U9  Shopping Arcade Mallow   Co. Cork	(022)20281	{'Yarn', 'Yarn Stores'}
Finn J H (Mallow) Ltd	113 Main st Mallow   Co. Cork	(022)21738	{'Jewellery'}
O'Donovan Ml	126 Main st Mallow   Co. Cork	(022)42126	{'Jewellery'}
Fitzpatrick Gerard	5960 Main st Mallow   Co. Cork	(022)21138	{'Jewellery'}
Hannon Michael	Graigue Shanballymore Mallow    Co. Cork	(022)25286	{'Radiator Covers'}
Philip's Bookshop	36 Bank pl Mallow  P51 K7NY Co. Cork	(022)42471	{'School Supplies'}
Country House B&B Mallow	Boherash Buttevant	(022)27584	{'Accommodation &amp; Booking Agencies', 'B&amp;B'}
