Title	Address	Phone	Categories
Nazareth House	Dromhane Mallow    Co. Cork	(022)21561	['Accommodation &amp; Booking Agencies']
The Kingsley Hotel	Victoria, Cork Cross,, Co. Cork	(021)6019874	['Accommodation &amp; Booking Agencies']
Fota Island Resort	Fota Island, Co. Cork	(021)6019646	['Accommodation &amp; Booking Agencies', 'Holiday Homes Ireland']
Heron's Cove Restaurant	The Harbour, Goleen, Co. Cork	(028)35225	['Accommodation &amp; Booking Agencies', 'B&amp;B']
Ballinacurra House	Ballicurra House Kinsale Co. Cork	(021)4779040	['Accommodation &amp; Booking Agencies']
Casey's Pub Unionhall	Main Street Unionhall, Skibbereen, Co. Cork	(028)33666	['Accommodation &amp; Booking Agencies', 'B&amp;B']
Bridgeview B&B;	8 Johns Quay, Kilkenny, Co. Kilkenny	(056)7722401	['Accommodation &amp; Booking Agencies', 'B&amp;B']
Hotel TV Systems		085 126 7833	['Accommodation &amp; Booking Agencies']
Ashley Hotel	Coburg Street, Cork City	(021)4501518	['Accommodation &amp; Booking Agencies']
Hostel/NO NAME	Taylors La Ballyboden R'farnham 14	(01)4944927	['Accommodation &amp; Booking Agencies']
Woodley B&B;	Woodley B&B;, Gort, Co. Galway	(091)631032	['Accommodation &amp; Booking Agencies', 'B&amp;B']
Innishannon House Hotel	Innishannon Co Cork, Co. Cork	(021)4775121	['Accommodation &amp; Booking Agencies']
Celtic Ross Hotel Conference & Leisure Centre	Rosscarbery West Co. Cork	(023)8848722	['Accommodation &amp; Booking Agencies']
Hayfield Manor Hotel	Perrott Avenue, College Road, Cork	(021)4845900	['Accommodation &amp; Booking Agencies', 'Accommodation &amp; Booking Agencies']
Maritime Hotel The	Bantry Co Cork Co. Cork	(027)54700	['Accommodation &amp; Booking Agencies']
Casey's Of Baltimore Hotel	Baltimore Co Cork, Co. Cork	(028)20197	['Accommodation &amp; Booking Agencies']
Carrigaline Court Hotel & Leisure Centre	Co. Cork	(021)4852100	['Accommodation &amp; Booking Agencies']
East Ferry House Retirement Home		(021) 465 2538	['Accommodation &amp; Booking Agencies']
Cork City Council - Rental Accommodation Scheme (RAS)	City Hall Cork	(021)4924724	['Accommodation &amp; Booking Agencies']
Cork City Council - Traveller Accommodation Unit	City Hall Cork	(021)4924474	['Accommodation &amp; Booking Agencies']
Helping Hands Adoption Agency Ltd	Forge Lodge Forge Hill   T12KW01 Co. Cork	(021)4966805	['Adoption Agencies', 'Adoption Agencies']
Fostering First Ireland	Grantham House Grantham Street  D08 W8HD	(01)4171944	['Adoption Agencies']
Corktowns.com	U 2A The Shopping Centre 126 Main Street Mallow  Co. Cork	(022)55002	['Advertising Agencies']
MobileReady	Fumbally Square, Fumbally Lane Dublin 8 Dublin Dublin 8	(01)5255907	['Advertising Agencies']
GetSold.ie	Fumbally Square Fumbally Lane Dubin 8 D08 XYA5	(1800)625625	['Advertising Agencies']
GetDeals.ie	Fumbally Square Fumbally Lane Dublin 8 D08 XYA5	(1800)625625	['Advertising Agencies']
FCR Media Ltd	Fumbally Square Fumbally Lane Dublin 8 D08 XYA5	(01)6917351	['Advertising Agencies']
Blackwater Studios	Co. Cork,	(025)38303	['Advertising Agencies']
Martin & Rea	16 St Patricks Hill Cork	(021)4501338	['Agricultural Advisors', 'Agricultural Advisors']
Damien Coyne Agri	Dunmore Road  Tuam  Co. Galway	0876598930	['Agricultural Advisors']
Ards Business Services Ltd	Main st Creeslough  F92C2FE Co. Donegal	(074)9138322	['Agricultural Advisors']
Teagasc	Main st Mohill   Co. Leitrim	(071)9631076	['Agricultural Advisors', 'Agricultural Advisors', 'Agricultural Advisors', 'Agricultural Advisors', 'Agricultural Advisors']
Contessa Trading Ltd	Clooncan Ballinlough   Co. Roscommon	(094)9640097	['Agricultural Advisors']
Foley Aidan	Munster Hse  Main st Doneraile   Co. Cork	(086)8290680	['Antique Auctions']
Woodward Joseph & Sons Ltd	26 Cook st Cork  T12 DF83	(021)4273327	['Antique Auctions']
The Cork Auction Rooms	Unit 12  South Link Business Park Ballycureen Road    Co. Cork	(021)4847689	['Antique Auctions']
Marshs	17  South Mall, Cork  T12 VCY2	(021)4270347	['Antique Auctions']
Dunmanway Auction Centre	Unit 10 Underhill Commercial Park     Co. Cork	(023)8890007	['Antique Auctions']
O'Gorman P J MIPAV	Chapel st Charleville   Co. Cork	(063)81407	['Antique Auctions']
Wilsons Auctions	Kingswood Cross Naas Road Dublin 22	(01)4642800	['Antique Auctions']
Country House B&B; Mallow	Boherash Buttevant	(022)27584	['B&amp;B']
Annabella Lodge	Annabella Mallow    Co. Cork	(022)43991	['B&amp;B']
Courtenay Andrew	lr Ballyviniter Mallow    Co. Cork	(022)21688	['B&amp;B']
Park South	Doneraile Mallow    Co. Cork	(022)25296	['B&amp;B']
Oaklands	Springwood Off Killarney rd Mallow  P51Y288 Co. Cork	(022)21127	['B&amp;B']
Corlaoí House B/B	Baltydaniel West  Mallow   Co. Cork	(022)20107	['B&amp;B']
Palmers B&B;	Newtwopothouse Mallow   Co. Cork	(022)22953	['B&amp;B']
Roundabout Inn The	Annabella Mallow   P51RD70 Co. Cork	(022)21815	['B&amp;B']
permanent tsb	Services This Area	(022)22803	['B&amp;B', 'B&amp;B']
Linehan Diarmuid B.D.S. N.U.I.	12 12, Deal Yard lane Mallow, Co. Cork	(022)20680	['B&amp;B']
O'Sullivan Breda Dip. M.N.H.I.I. M.A.I.R. M.B.C.M.A. N.R.R.I.	Natural Therapy Centre Two Pot House    Co. Cork	(022)51595	['B&amp;B']
Lynch John B	West Lynn West End Mallow    Co. Cork	(022)21337	['B&amp;B']
